代號,名稱,九年股息發放率(%),九年平均配息,九年平均毛利率(%),九年平均ROE(%),九年平均EPS(元),九年平均營收成長率(%),九年平均本益比(倍),九年平均現金殖利率,label1y
1227.0,佳格,100.0,2.01,30.25,19.3,3.23,7.9,15.91,3.91,-1.0
1235.0,興泰,55.55555556,0.23,24.15,3.34,1.4,-14.42,31.71,0.52,1.0
1301.0,台塑,100.0,3.48,12.34,10.1,4.9,-1.23,21.12,3.36,1.0
1303.0,南亞,100.0,3.0,12.0,9.84,4.23,-1.75,19.76,3.59,1.0
1312.0,國喬,88.88888889,0.64,13.57,11.19,2.48,-3.49,11.49,2.25,1.0
1336.0,台翰,55.55555556,0.46,10.89,0.41,0.02,-0.02,1035.0,2.22,-1.0
1413.0,宏洲,0.0,0.0,0.05,-6.12,-0.47,-7.05,-21.28,0.0,-1.0
1432.0,大魯閣,22.22222222,0.44,60.69,-4.77,-0.19,28.97,-67.63,3.42,-1.0
1434.0,福懋興,100.0,1.51,11.56,5.72,2.03,-6.05,14.31,5.2,-1.0
1436.0,福益,77.77777778,1.28,29.31,5.42,1.8,399.71,29.89,2.38,1.0
1442.0,名軒,100.0,1.48,29.75,10.03,1.92,42.65,12.29,6.27,1.0
1464.0,得力,77.77777778,1.17,16.24,7.56,1.11,7.8,13.78,7.65,-1.0
1475.0,本盟,0.0,0.0,-19.15,-33.03,-2.37,2.72,-20.25,0.0,1.0
1476.0,儒鴻,100.0,9.28,28.06,29.48,13.12,12.15,45.05,1.57,1.0
1477.0,聚陽,100.0,7.1,20.78,21.75,8.28,6.03,28.62,3.0,1.0
1507.0,永大,100.0,2.31,25.73,12.73,3.46,2.41,18.61,3.59,-1.0
1516.0,川飛,66.66666667,0.09,4.92,1.55,0.36,51.66,66.67,0.38,-1.0
1533.0,車王電,88.88888889,0.47,34.49,5.99,1.63,4.18,34.72,0.83,1.0
1536.0,和大,100.0,2.3,29.9,18.55,3.3,7.94,27.61,2.52,-1.0
1540.0,喬福,100.0,1.04,23.29,6.34,1.07,-11.27,13.79,7.05,-1.0
1605.0,華新麗華,66.66666667,0.5,6.3,4.87,1.02,-4.5,25.74,1.9,1.0
1701.0,中化,100.0,0.68,32.58,6.45,1.2,5.73,18.83,3.01,-1.0
1708.0,東鹼,100.0,0.74,26.26,9.23,2.33,1.98,15.45,2.06,1.0
1714.0,和桐,77.77777778,0.15,8.67,3.39,0.44,-5.51,26.36,1.29,1.0
1735.0,日勝化,100.0,0.56,15.6,5.13,0.79,-7.59,22.85,3.1,-1.0
1736.0,喬山,100.0,1.18,46.58,11.67,3.3,8.74,17.55,2.04,-1.0
1799.0,易威,11.11111111,0.11,6.1,-35.31,-3.12,24.14,-5.19,0.68,-1.0
1805.0,寶徠,11.11111111,0.06,6.37,1.95,0.15,195.57,91.67,0.44,1.0
1808.0,潤隆,100.0,3.46,27.37,15.89,3.35,62.85,17.79,5.81,-1.0
1810.0,和成,66.66666667,0.17,26.18,1.97,0.32,-0.75,50.47,1.05,1.0
1903.0,士紙,0.0,0.0,12.29,-6.08,-0.76,-3.96,-85.13,0.0,-1.0
2007.0,燁興,11.11111111,0.02,-1.06,-9.49,-0.8,-5.21,-26.12,0.1,1.0
2009.0,第一銅,33.33333333,0.19,-0.62,-0.18,0.01,-8.3,4330.0,0.44,1.0
2014.0,中鴻,22.22222222,0.04,3.55,3.47,0.3,-1.43,121.67,0.11,1.0
2017.0,官田鋼,44.44444444,0.16,9.33,0.62,-0.09,-6.74,-221.67,0.8,1.0
2028.0,威致,0.0,0.0,1.65,-5.42,-0.08,0.95,-516.88,0.0,1.0
2029.0,盛餘,100.0,0.97,10.45,4.48,1.18,-6.37,27.42,3.0,1.0
2101.0,南港,66.66666667,0.45,18.29,5.66,0.77,-5.64,50.84,1.15,-1.0
2103.0,台橡,100.0,1.15,12.4,6.81,1.31,-8.01,25.08,3.5,1.0
2106.0,建大,100.0,1.51,23.37,11.91,2.59,-0.17,11.58,5.03,-1.0
2204.0,中華,88.88888889,1.86,16.36,5.43,2.14,-3.79,30.47,2.85,-1.0
2208.0,台船,44.44444444,0.26,-6.56,-18.37,-2.56,1.12,-8.57,1.18,-1.0
2301.0,光寶科,100.0,2.73,14.01,9.93,3.33,-3.92,18.2,4.5,1.0
2337.0,旺宏,44.44444444,0.51,22.62,0.17,0.68,5.03,62.35,1.2,-1.0
2342.0,茂矽,22.22222222,0.09,-6.19,-18.11,-1.08,-4.02,-45.65,0.18,-1.0
2345.0,智邦,100.0,3.26,18.33,22.56,4.18,9.42,66.27,1.18,-1.0
2351.0,順德,100.0,2.02,17.2,12.39,3.16,-1.61,51.9,1.23,1.0
2359.0,所羅門,77.77777778,0.71,19.15,4.55,1.06,-4.76,16.32,4.1,-1.0
2362.0,藍天,100.0,1.37,28.91,4.23,2.12,2.07,14.83,4.36,-1.0
2363.0,矽統,22.22222222,0.13,33.92,-4.24,-0.56,-17.82,-47.77,0.49,1.0
2367.0,燿華,66.66666667,0.37,11.69,1.81,0.33,1.97,56.06,2.0,-1.0
2377.0,微星,100.0,3.77,13.64,15.55,5.12,7.73,31.54,2.33,1.0
2379.0,瑞昱,100.0,6.77,43.15,18.14,8.33,15.51,66.63,1.22,1.0
2383.0,台光電,100.0,4.13,21.71,21.76,7.03,7.13,39.05,1.5,1.0
2393.0,億光,100.0,2.48,24.14,7.72,3.06,2.58,16.93,4.79,1.0
2406.0,國碩,11.11111111,0.06,9.31,-5.71,-1.74,10.26,-14.28,0.24,1.0
2426.0,鼎元,77.77777777777779,0.64,14.18,0.25,0.33,-4.2,87.88,2.21,1.0
2439.0,美律,100.0,6.76,17.98,20.18,8.7,19.93,10.86,7.15,-1.0
2442.0,新美齊,77.77777777777779,0.08,20.43,6.35,0.76,37.96,15.0,0.7,1.0
2450.0,神腦,100.0,2.4,12.76,14.21,3.21,0.67,10.26,7.28,-1.0
2451.0,創見,100.0,5.82,21.13,13.08,6.08,-9.87,11.48,8.34,-1.0
2456.0,奇力新,100.0,2.82,25.47,11.92,4.87,11.22,19.1,3.03,-1.0
2480.0,敦陽科,100.0,2.77,26.9,12.33,2.83,3.74,25.44,3.85,-1.0
2506.0,太設,88.88888888888889,0.19,42.61,3.2,0.46,17.76,21.2,1.95,-1.0
2511.0,太子,100.0,0.66,28.05,7.08,1.04,-6.87,12.6,5.04,1.0
2515.0,中工,100.0,0.18,9.25,1.99,0.25,0.65,35.12,2.05,-1.0
2516.0,新建,55.55555555555556,0.14,-0.12,-4.62,-0.36,0.44,-16.67,2.33,1.0
2535.0,達欣工,100.0,1.76,8.87,11.64,2.7,4.08,11.91,5.47,1.0
2537.0,聯上發,55.55555555555556,0.22,28.67,8.8,1.07,92.26,9.91,2.08,-1.0
2542.0,興富發,100.0,3.44,32.94,20.24,6.17,13.32,7.5,7.43,-1.0
2605.0,新興,100.0,0.76,29.19,5.2,1.16,0.8,24.83,2.64,1.0
2610.0,華航,33.33333333333333,0.1,10.38,1.76,0.15,-1.3,172.0,0.39,1.0
2702.0,華園,66.66666666666666,0.1,76.99,2.17,0.31,8.69,82.9,0.39,1.0
2705.0,六福,22.22222222222222,0.02,27.42,-11.27,-1.45,-9.16,-12.17,0.11,-1.0
2801.0,彰銀,100.0,0.39,6.92,8.1,1.2,2.03,13.88,2.34,-1.0
2812.0,台中銀,100.0,0.32,7.32,9.24,1.16,6.83,10.34,2.67,-1.0
2832.0,台產,100.0,1.03,40.38,9.71,2.02,5.51,9.93,5.14,-1.0
2836.0,高雄銀,100.0,0.14,5.23,4.37,0.63,1.74,18.49,1.2,1.0
2838.0,聯邦銀,100.0,0.18,7.95,8.2,1.14,3.66,10.75,1.47,1.0
2845.0,遠東銀,100.0,0.38,5.9,8.77,1.1,5.04,9.59,3.6,-1.0
2849.0,安泰銀,100.0,0.67,6.56,9.03,1.47,-2.2,11.26,4.05,-1.0
2888.0,新光金,88.88888888888889,0.19,1.14,7.6,0.94,7.71,11.22,1.8,1.0
2890.0,永豐金,100.0,0.5,8.1,8.49,1.08,5.5,14.07,3.29,1.0
2904.0,匯僑,100.0,1.9,43.11,14.11,2.05,1.54,12.34,7.51,-1.0
2910.0,統領,66.66666666666666,0.46,57.88,4.17,0.54,3.33,65.37,1.3,-1.0
3003.0,健和興,100.0,1.22,31.14,10.17,2.63,2.63,35.17,1.32,1.0
3006.0,晶豪科,100.0,1.62,17.65,9.62,2.4,13.15,71.25,0.95,1.0
3010.0,華立,100.0,3.1,8.73,12.68,5.58,7.6,16.06,3.46,1.0
3016.0,嘉晶,55.55555555555556,0.23,9.79,1.35,0.19,9.45,805.26,0.15,1.0
3018.0,同開,44.44444444444444,0.1,6.44,-6.49,-0.56,20.57,-29.29,0.61,-1.0
