代號,名稱,九年股息發放率(%),九年平均配息,九年平均毛利率(%),九年平均ROE(%),九年平均EPS(元),九年平均營收成長率(%),九年平均本益比(倍),九年平均現金殖利率,label1y
1101,台泥,100.0,2.25,22.16,9.34,2.91,0.87,15.95,4.85,-1
1102,亞泥,100.0,2.03,17.63,7.2,2.83,2.12,15.11,4.75,-1
1103,嘉泥,88.88888889,0.61,5.01,2.5,0.94,-8.86,21.65,3.0,1
1104,環泥,100.0,1.01,11.38,7.68,1.96,1.95,10.97,4.7,-1
1108,幸福,66.66666667,0.37,10.77,4.05,0.46,1.86,25.0,3.22,-1
1109,信大,100.0,0.62,21.83,8.23,1.27,13.61,15.79,3.09,-1
1110,東泥,100.0,0.13,6.24,1.14,0.16,1.95,121.56,0.67,-1
1201,味全,55.55555556,0.43,30.29,3.4,0.49,-1.54,45.31,1.94,-1
1203,味王,100.0,0.97,27.16,9.54,1.44,0.38,22.95,2.93,-1
1210,大成,100.0,1.53,11.83,10.21,2.6,0.02,20.08,2.93,-1
1213,大飲,11.11111111,0.0,10.2,-1.18,-0.11,-5.52,-74.18,0.0,-1
1215,卜蜂,100.0,2.46,13.0,16.1,3.81,2.69,21.13,3.06,-1
1216,統一,100.0,2.4,32.66,17.33,3.26,2.44,20.71,3.56,-1
1217,愛之味,11.11111111,0.0,31.81,0.31,0.04,2.92,256.25,0.0,1
1218,泰山,44.44444444,0.39,16.48,4.36,0.53,-1.5,50.75,1.45,1
1219,福壽,100.0,0.31,7.53,2.37,0.45,1.99,44.89,1.53,-1
1220,台榮,100.0,0.52,11.28,4.95,0.64,-2.45,23.83,3.41,1
1225,福懋油,100.0,0.91,7.81,8.67,1.18,-3.72,42.8,1.8,1
1229,聯華,100.0,1.43,17.18,8.87,2.2,8.28,25.91,2.51,1
1231,聯華食,100.0,1.4,22.49,14.48,2.79,6.25,24.44,2.05,1
1232,大統益,100.0,4.73,9.51,24.17,5.51,-0.09,29.22,2.94,1
